Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
4AF_S4_R1_001	6.879096845074615	17.63871765611978	35.0	74.0	18.181818181818183	26195949.0						
4AF_S4_R1_001_val_1		18.88404641313616	34.0	67.39762254398775	9.090909090909092	26132555.0	63.2	0.7	0.7	361470830.0	10529993.0	40.29454066010767
4AF_S4_R2_001	0.6816218994979564	18.025562113389853	32.0	74.0	9.090909090909092	26195949.0						
4AF_S4_R2_001_val_2		17.009737577322625	32.0	71.29754989514038	9.090909090909092	26132555.0						
4HS_S9_R1_001	7.169255225216481	19.012070269675746	35.0	74.0	18.181818181818183	28338404.0						
4HS_S9_R1_001_val_1		20.494679219965946	34.0	67.18041317576025	9.090909090909092	28264388.0	62.6	0.7	0.7	384015732.0	11129393.0	39.37602682216222
4HS_S9_R2_001	0.6822804425031989	19.015407146564584	33.0	74.0	9.090909090909092	28338404.0						
4HS_S9_R2_001_val_2		17.989669952612985	32.0	71.28793122992792	9.090909090909092	28264388.0						
4PSR_S4_R1_001		29.06011759126565	34.0	76.0	18.181818181818183	23667459.0						
4PSR_S4_R2_001		31.260046695513637	32.0	76.0	9.090909090909092	23667459.0						
4RRS_S14_R1_001		26.247880135461926	34.0	76.0	18.181818181818183	20597619.0						
4RRS_S14_R2_001		28.703734861330204	32.0	76.0	9.090909090909092	20597619.0						
5AF_S5_R1_001	6.189223438328413	18.987811271917792	35.0	74.0	18.181818181818183	22486468.0						
5AF_S5_R1_001_val_1		20.02195255526651	33.0	67.92883842856274	9.090909090909092	22432585.0	62.3	0.7	0.6	342050557.0	9889599.0	44.08586437987419
5AF_S5_R2_001	0.6780676049389636	19.301124086640755	32.0	74.0	9.090909090909092	22486468.0						
5AF_S5_R2_001_val_2		18.26218108616493	32.0	71.26842029128609	9.090909090909092	22432585.0						
5HS_S10_R1_001	6.847994716831704	19.44647402985599	35.0	74.0	18.181818181818183	25415862.0						
5HS_S10_R1_001_val_1		20.60607846941319	34.0	67.42910668230296	9.090909090909092	25352996.0	63.5	0.7	0.6	362438702.0	10445074.0	41.19857866107816
5HS_S10_R2_001	0.6809723152557902	19.576672535405876	33.0	74.0	9.090909090909092	25415862.0						
5HS_S10_R2_001_val_2		18.57020687938285	32.0	71.29109963966388	9.090909090909092	25352996.0						
5PAM_S5_R1_001		29.13023454032188	34.0	76.0	18.181818181818183	23412888.0						
5PAM_S5_R2_001		31.294704754990917	32.0	76.0	9.090909090909092	23412888.0						
5ROCA_S15_R1_001		28.32261922612645	34.0	76.0	18.181818181818183	21680176.0						
5ROCA_S15_R2_001		30.63155442508561	32.0	76.0	9.090909090909092	21680176.0						
6AF_S1_R1_001	6.18746730781298	14.206767265628102	34.0	75.0	45.45454545454545	18435744.0						
6AF_S1_R1_001_val_1		14.490460167459759	32.0	68.48801794340466	36.36363636363637	18320269.0	58.2	0.7	0.5	256381965.0	7409833.0	40.446092794816494
6AF_S1_R2_001	0.6725746827356884	19.643725383861067	32.0	75.0	9.090909090909092	18435744.0						
6AF_S1_R2_001_val_2		17.77472657075984	31.0	71.91895370095276	9.090909090909092	18320269.0						
6PAG_S6_R1_001		25.397827364861428	34.0	76.0	18.181818181818183	21596403.0						
6PAG_S6_R2_001		27.622864066304203	32.0	76.0	9.090909090909092	21596403.0						
6R_FD_S15_R1_001		12.333337280155902	34.0	75.0	45.45454545454545	12936898.0						
6R_FD_S15_R2_001		17.12612688687605	32.0	75.0	9.090909090909092	12936898.0						
7AF_S2_R1_001		13.250930710404901	34.0	75.0	45.45454545454545	15267236.0						
7AF_S2_R2_001		17.638693440999347	32.0	75.0	9.090909090909092	15267236.0						
7PIL_S7_R1_001		30.763233469039378	34.0	76.0	18.181818181818183	26980826.0						
7PIL_S7_R2_001		32.66857566912188	32.0	76.0	9.090909090909092	26980826.0						
7R_FV_S16_R1_001		10.610170855210526	34.0	75.0	45.45454545454545	9047194.0						
7R_FV_S16_R2_001		14.985549087994187	32.0	75.0	9.090909090909092	9047194.0						
8AF_S3_R1_001		13.177790696046216	33.0	75.0	45.45454545454545	13987822.0						
8AF_S3_R2_001		17.88201677397099	31.0	75.0	9.090909090909092	13987822.0						
8PSN_S8_R1_001		31.543089035728798	34.0	76.0	18.181818181818183	27208684.0						
8PSN_S8_R2_001		33.850747214084905	32.0	76.0	9.090909090909092	27208684.0						
8R_BM_S17_R1_001		13.735755793287154	33.0	75.0	45.45454545454545	13228085.0						
8R_BM_S17_R2_001		19.128969748514706	31.0	75.0	9.090909090909092	13228085.0						
9AF_S4_R1_001	5.0490385776077815	15.578603782718162	33.0	75.0	45.45454545454545	17191805.0						
9AF_S4_R1_001_val_1		15.545675308387771	32.0	69.39377016969476	36.36363636363637	17080080.0	60.0	0.6	0.5	259935855.0	7461373.0	43.68464901803738
9AF_S4_R2_001	0.6619134525563133	20.797146647080737	31.0	75.0	9.090909090909092	17191805.0						
9AF_S4_R2_001_val_2		18.868916349216235	31.0	71.89602343782933	9.090909090909092	17080080.0						
9P_PA_S12_R1_001		13.76783802054264	34.0	75.0	45.45454545454545	14273771.0						
9P_PA_S12_R2_001		18.5191343827686	32.0	75.0	9.090909090909092	14273771.0						
9R_MV_S18_R1_001		14.96799900392439	33.0	75.0	45.45454545454545	14056067.0						
9R_MV_S18_R2_001		20.70398305896633	31.0	75.0	9.090909090909092	14056067.0						
HS10_S10_R1_001	7.283319007390701	15.516232975452155	34.0	75.0	45.45454545454545	19449998.0						
HS10_S10_R1_001_val_1		16.152659723138868	33.0	67.69142902258488	36.36363636363637	19302781.0	59.1	0.7	0.5	261245952.0	7617399.0	39.46270229144702
HS10_S10_R2_001	0.676429557229615	20.718048217256595	32.0	75.0	9.090909090909092	19449998.0						
HS10_S10_R2_001_val_2		18.84191809677938	31.0	71.9110199716818	9.090909090909092	19302781.0						
HS11_S11_R1_001	5.764901080843829	12.09001866274447	34.0	75.0	45.45454545454545	12419612.0						
HS11_S11_R1_001_val_1		12.322237888453174	32.0	68.79066083139426	36.36363636363637	12344011.0	58.1	0.6	0.5	174783381.0	5082530.0	41.17405598553015
HS11_S11_R2_001	0.669522662771419	17.478378242626917	32.0	75.0	9.090909090909092	12419612.0						
HS11_S11_R2_001_val_2		16.05348288145602	31.0	71.92484744221306	9.090909090909092	12344011.0						
HS6_S6_R1_001	5.365869977293918	13.119868192831547	33.0	75.0	45.45454545454545	14675638.0						
HS6_S6_R1_001_val_1		13.11161407560843	32.0	69.15618545208834	36.36363636363637	14577350.0	59.1	0.7	0.5	212676633.0	6090321.0	41.77934261028239
HS6_S6_R2_001	0.6669341728318307	17.819462591645546	31.0	75.0	9.090909090909092	14675638.0						
HS6_S6_R2_001_val_2		16.1290229131491	31.0	71.90947504175999	9.090909090909092	14577350.0						
HS7_S7_R1_001	7.196574268881259	19.743991486636546	34.0	75.0	45.45454545454545	30332664.0						
HS7_S7_R1_001_val_1		20.576606425672622	33.0	67.7160450096371	36.36363636363637	30116928.0	58.9	0.6	0.5	422582987.0	12149812.0	40.34213582474281
HS7_S7_R2_001	0.6777429987791586	25.759870522056175	32.0	75.0	9.090909090909092	30332664.0						
HS7_S7_R2_001_val_2		23.811079205872048	31.0	71.83305096721685	9.090909090909092	30116928.0						
HS8_S8_R1_001	5.417346655470755	13.439701474020765	34.0	75.0	45.45454545454545	14350632.0						
HS8_S8_R1_001_val_1		13.465130315139248	32.0	69.09348415343928	36.36363636363637	14258930.0	59.6	0.7	0.5	211802630.0	6091052.0	42.717454956297566
HS8_S8_R2_001	0.6675190196250022	19.23195736889879	31.0	75.0	9.090909090909092	14350632.0						
HS8_S8_R2_001_val_2		17.5738361555279	31.0	71.91065332391702	9.090909090909092	14258930.0						
HS9_S9_R1_001	6.182452850655218	15.775521151945412	34.0	75.0	45.45454545454545	19285408.0						
HS9_S9_R1_001_val_1		16.114006829613814	32.0	68.54907652668658	36.36363636363637	19146628.0	58.7	0.7	0.5	277495471.0	8031626.0	41.94799209552721
HS9_S9_R2_001	0.6674091800930788	21.210566423953452	32.0	75.0	9.090909090909092	19285408.0						
HS9_S9_R2_001_val_2		19.333918665084994	31.0	71.91522089424832	9.090909090909092	19146628.0						
